{ FILE .\3x5patch_2ndOrderWavePort9\3x5patch_2ndOrderWavePort9 
{ POSITION .\3x5patch_2ndOrderWavePort9\3x5patch_2ndOrderWavePort9 
    71 
     0 K2 -5.1953364541980351e-004 -9.5243344977304523e-004 
     1 K2 -1.7116056368770421e-004 -1.1640150201086194e-003 
     2 K2 -6.1229349178410636e-004 -1.4782072520180592e-003 
     3 K2 -3.0614674589210522e-004 -1.5391036260090293e-003 
     4 K2 -6.9388939039072284e-018 -1.5999999999999994e-003 
     5 K2 -2.6787840265550533e-004 -6.4671567275790024e-004 
     6 K2 -6.9388939039072284e-018 -6.9999999999999923e-004 
     7 K2  1.3189533764009637e-004 -1.0899598528557393e-003 
     8 K2 -4.9497474683060649e-004 -4.9497474683058221e-004 
     9 K2 -8.0319189766080157e-004 -8.1450980426398727e-004 
    10 K2 -8.1804171619100780e-004 -5.0812125863240927e-004 
    11 K2  2.0413888986219736e-004 -8.6071953664535925e-004 
    12 K2  4.1678191380239288e-004 -1.0062005488535694e-003 
    13 K2  2.6787840265559554e-004 -6.4671567275790024e-004 
    14 K2  6.2626527437199819e-004 -7.6399411878076522e-004 
    15 K2  7.5286628223779350e-004 -1.0286225454811193e-003 
    16 K2  6.1229349178419656e-004 -1.4782072520180592e-003 
    17 K2  1.1313708498984984e-003 -1.1313708498984793e-003 
    18 K2 -7.6767343132230770e-004 -1.1161419221131393e-003 
    19 K2 -1.1313708498985053e-003 -1.1313708498984793e-003 
    20 K2  2.0469160876239456e-004 -1.3056649718311292e-003 
    21 K2 -1.0875392221925059e-003 -6.8400592834313523e-004 
    22 K2 -1.4782072520180059e-003 -6.1229349178414322e-004 
    23 K2 -6.4671567275790404e-004 -2.6787840265556231e-004 
    24 K2 -7.0000000000000617e-004  8.0820978035000423e-019 
    25 K2 -1.0558621269554022e-003 -2.7921114478135929e-004 
    26 K2 -1.0605279605822027e-003  1.1748784271497371e-004 
    27 K2 -1.6000000000000042e-003  5.2655031897085782e-019 
    28 K2 -6.4671567275790404e-004  2.6787840265556372e-004 
    29 K2 -1.0391274083656060e-003  4.3270393989136569e-004 
    30 K2 -7.6130989422440454e-004  5.4252998889889380e-004 
    31 K2 -4.9497474683060649e-004  4.9497474683058373e-004 
    32 K2 -6.5919453078790158e-004  7.4460949032457676e-004 
    33 K2 -1.3215134428956055e-003  2.8347514452076172e-004 
    34 K2 -1.4782072520180059e-003  6.1229349178414376e-004 
    35 K2 -9.6658527795420723e-004  7.7239481711334371e-004 
    36 K2 -1.1313708498985053e-003  1.1313708498984806e-003 
    37 K2 -6.2940645519280608e-004  1.0317313153874606e-003 
    38 K2 -6.1229349178410636e-004  1.4782072520180605e-003 
    39 K2  4.9497474683059262e-004 -4.9497474683058329e-004 
    40 K2 -3.0714713797840715e-004  1.2608237754269907e-003 
    41 K2 -6.9388939039072284e-018  1.6000000000000007e-003 
    42 K2  2.1118129340094716e-005  1.0575537824521106e-003 
    43 K2  1.2651109406034977e-003 -2.1084055025398027e-004 
    44 K2  1.4782072520180961e-003 -6.1229349178414322e-004 
    45 K2  1.0151595070091932e-003 -4.1930518102119730e-004 
    46 K2  1.5999999999999973e-003  7.2248733558243779e-019 
    47 K2  1.1629909744787920e-003  1.0354738415657672e-004 
    48 K2  9.7760627061419664e-004 -7.6332263719344426e-004 
    49 K2  9.4605021871189271e-004 -1.0734943665453528e-004 
    50 K2  6.4671567275789710e-004 -2.6787840265556231e-004 
    51 K2  7.6274017236209468e-004 -5.4925772833802026e-004 
    52 K2  6.9999999999999230e-004  7.2248733558243779e-019 
    53 K2  1.3079986715526931e-003  3.0256679382629272e-004 
    54 K2  9.7260053849299727e-004  4.8654540814217870e-004 
    55 K2  8.8573252349059828e-004  1.5015321488329273e-004 
    56 K2  6.4671567275789710e-004  2.6787840265556372e-004 
    57 K2  4.9497474683059262e-004  4.9497474683058373e-004 
    58 K2  6.7141969334629653e-004  8.2873560722451680e-004 
    59 K2  1.1313708498984984e-003  1.1313708498984806e-003 
    60 K2  1.4782072520180961e-003  6.1229349178414571e-004 
    61 K2  7.1893149777389753e-004  1.1321198287760606e-003 
    62 K2  6.1229349178419656e-004  1.4782072520180605e-003 
    63 K2  4.3967649122559488e-004  1.0788586192766207e-003 
    64 K2  2.6787840265559554e-004  6.4671567275790176e-004 
    65 K2 -1.9508468464190382e-004  8.4765869540094781e-004 
    66 K2 -3.0481626850060312e-004  1.0224884517859606e-003 
    67 K2 -6.9388939039072284e-018  7.0000000000000075e-004 
    68 K2 -2.6787840265550533e-004  6.4671567275790176e-004 
    69 K2 -4.2392225028760333e-004  8.1143767294330571e-004 
    70 K2  2.6828544437729196e-004  1.3036744976095407e-003 
} 
{ NODE .\3x5patch_2ndOrderWavePort9\3x5patch_2ndOrderWavePort9 
    71 
     0 S      0 
     1 S      1 
     2 S      2 
     3 S      3 
     4 S      4 
     5 S      5 
     6 S      6 
     7 S      7 
     8 S      8 
     9 S      9 
    10 S     10 
    11 S     11 
    12 S     12 
    13 S     13 
    14 S     14 
    15 S     15 
    16 S     16 
    17 S     17 
    18 S     18 
    19 S     19 
    20 S     20 
    21 S     21 
    22 S     22 
    23 S     23 
    24 S     24 
    25 S     25 
    26 S     26 
    27 S     27 
    28 S     28 
    29 S     29 
    30 S     30 
    31 S     31 
    32 S     32 
    33 S     33 
    34 S     34 
    35 S     35 
    36 S     36 
    37 S     37 
    38 S     38 
    39 S     39 
    40 S     40 
    41 S     41 
    42 S     42 
    43 S     43 
    44 S     44 
    45 S     45 
    46 S     46 
    47 S     47 
    48 S     48 
    49 S     49 
    50 S     50 
    51 S     51 
    52 S     52 
    53 S     53 
    54 S     54 
    55 S     55 
    56 S     56 
    57 S     57 
    58 S     58 
    59 S     59 
    60 S     60 
    61 S     61 
    62 S     62 
    63 S     63 
    64 S     64 
    65 S     65 
    66 S     66 
    67 S     67 
    68 S     68 
    69 S     69 
    70 S     70 
} 
{ EDGE .\3x5patch_2ndOrderWavePort9\3x5patch_2ndOrderWavePort9 
   180 
     0 S      1      2 
     1 S      0      2 
     2 S      0      1 
     3 S      3      2 
     4 S      1      3 
     5 S      3      4 
     6 S      1      4 
     7 S      5      1 
     8 S      5      0 
     9 S      6      1 
    10 S      5      6 
    11 S      1      7 
    12 S      6      7 
    13 S      8      0 
    14 S      5      8 
    15 S      0      9 
    16 S      8      9 
    17 S     10      9 
    18 S      8     10 
    19 S      7     11 
    20 S      6     11 
    21 S     12     11 
    22 S      7     12 
    23 S     14     12 
    24 S     13     12 
    25 S     13     14 
    26 S     13     11 
    27 S     12     15 
    28 S     14     15 
    29 S     16     15 
    30 S     12     16 
    31 S     17     15 
    32 S     17     16 
    33 S      2     18 
    34 S      0     18 
    35 S     18     19 
    36 S      2     19 
    37 S      9     19 
    38 S      9     18 
    39 S     12     20 
    40 S      7     20 
    41 S     16     20 
    42 S      4     20 
    43 S      4     16 
    44 S     19     21 
    45 S      9     21 
    46 S     22     21 
    47 S     22     19 
    48 S     24     25 
    49 S     23     25 
    50 S     23     24 
    51 S     25     10 
    52 S     23     10 
    53 S     25     26 
    54 S     24     26 
    55 S     27     26 
    56 S     25     27 
    57 S     27     22 
    58 S     25     22 
    59 S     28     26 
    60 S     24     28 
    61 S     26     29 
    62 S     28     29 
    63 S     29     30 
    64 S     28     30 
    65 S     31     30 
    66 S     31     28 
    67 S     30     32 
    68 S     31     32 
    69 S     26     33 
    70 S     27     33 
    71 S     34     33 
    72 S     27     34 
    73 S     29     33 
    74 S     29     34 
    75 S     34     35 
    76 S     29     35 
    77 S     36     35 
    78 S     34     36 
    79 S     37     35 
    80 S     36     37 
    81 S     32     35 
    82 S     37     32 
    83 S     38     37 
    84 S     36     38 
